('CS 12SI:', '20', 'Lathrop 299')
('CS 21SI:', '13', '160-328')
('CS 31N:', '15', 'Hewlett Teaching Center 102')
('CS 41:', '43', '370-370')
('CS 45:', '88', '300-300')
('CS 46N:', '15', '160-124')
('CS 91SI:', '19', '160-317')
('CS 100A:', 'Information not found', 'McMurtry Art Building 360')
('CS 100B:', 'Information not found', 'STLC 119')
('CS 103:', '209', 'Skilling Auditorium')
('CS 103A:', 'Information not found', 'Lathrop 299')
('CS 105:', '31', '200-002')
('CS 106A:', '540', 'Hewlett Teaching Center 200')
('CS 106B:', '501', 'Hewlett Teaching Center 200')
('CS 106E:', '82', '370-370')
('CS 106L:', '22', 'Turing Auditorium')
('CS 106S:', '14', '160-127')
('CS 107:', '255', 'NVIDIA Auditorium')
('CS 107A:', 'Information not found', '160-321')
('CS 109:', '416', 'Hewlett Teaching Center 200')
('CS 109A:', 'Information not found', '200-303')
('CS 111:', '288', 'STLC 111')
('CS 111A:', 'Information not found', '160-124')
('CS 139:', '36', '530-127')
('CS 142:', '140', 'Gates B1')
('CS 143:', '113', 'Gates B1')
('CS 144:', '232', 'Bishop Auditorium')
('CS 151:', '83', '370-370')
('CS 152:', '194', 'Skilling Auditorium')
('CS 155:', '154', 'Gates B1')
('CS 161:', '147', 'Gates B1')
('CS 161A:', 'Information not found', 'STLC 118')
('CS 166:', '43', '200-034')
('CS 168:', '277', 'Skilling Auditorium')
('CS 170:', 'Information not found', 'Knoll 317')
('CS 173A:', '44', 'Hewlett Teaching Center 201')
('CS 191:', 'Information not found', 'Location not found')
('CS 191W:', '1', 'Location not found')
('CS 192:', 'Information not found', 'Location not found')
('CS 193P:', '47', '200-002')
('CS 193X:', '144', '420-040')
('CS 194:', '30', 'Lathrop 282')
('CS 194W:', '135', 'Departmental Room')
('CS 195:', 'Information not found', 'Location not found')
('CS 197:', '22', '200-303')
('CS 197C:', '12', '60-109')
('CS 198:', '23', 'Location not found')
('CS 198B:', '4', 'Location not found')
('CS 199:', '1', 'Location not found')
('CS 199P:', 'Information not found', 'Location not found')
('CS 202:', 'Information not found', 'Location not found')
('CS 204:', 'Information not found', 'Location not found')
('CS 210B:', '47', 'Hewlett Teaching Center 102')
('CS 221:', '440', 'NVIDIA Auditorium')
('CS 224R:', '281', 'Gates B1')
('CS 224U:', '243', 'Gates B1')
('CS 225A:', '31', 'Gates B12')
('CS 227B:', '64', '200-034')
('CS 229:', '260', 'Gates B1')
('CS 230:', '275', 'Remote')
('CS 231N:', '497', 'NVIDIA Auditorium')
('CS 235:', '19', 'School of Medicine Room')
('CS 240:', '54', 'Gates B3')
('CS 240LX:', '12', '160-123')
('CS 246:', '250', 'NVIDIA Auditorium')
('CS 247A:', '22', 'STLC 104')
('CS 247G:', '106', 'STLC 114')
('CS 254B:', '26', 'Hewlett Teaching Center 102')
('CS 272:', '3', 'School of Medicine Room')
('CS 273B:', '42', '370-370')
('CS 273C:', '36', 'Li Ka Shing Center, room 120')
('CS 275B:', '4', 'Braun 131')
('CS 278:', '181', 'Gates B1')
('CS 281:', '40', '200-305')
('CS 323:', '41', 'Gates B3')
('CS 327A:', '34', 'Gates B12')
('CS 328:', '9', '530-127')
('CS 329D:', '29', '160-120')
('CS 329X:', '26', '380-380X')
('CS 331:', '3', '260-007')
('CS 348E:', '26', '200-303')
('CS 348K:', '34', 'STLC 105')
('CS 348N:', '30', '200-305')
('CS 349D:', '28', 'Hewlett Teaching Center Rm 101')
('CS 349F:', '54', '60-109')
('CS 352B:', '36', 'LAW 180')
('CS 355:', '52', 'Mitchell Earth Sciences B67')
('CS 359D:', '27', 'STLC 119')
('CS 360:', '8', 'GSB Class of 1968 101')
('CS 361:', '35', 'NVIDIA Auditorium')
('CS 362:', '13', 'Mitchell Earth Sciences B67')
('CS 372:', '30', 'Gates B12')
('CS 375:', '20', 'Gates B12')
('CS 377E:', '31', 'Lathrop 180')
('CS 377Q:', '30', '160-B40')
